,customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiplelines,internet_service,online_security,online_backup,device_protection,techsupport,streaming_tv,streaming_movies,contract,paperless,payment_method,monthly_charges,total_charges,churn,probability
0,7590-VHVEG,Female,False,True,False,1,False,NO_PHONE,DSL,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,29.85,29.85,False,0.35323412115659547
1,5575-GNVDE,Male,False,False,False,34,True,No,DSL,Yes,No,Yes,No,No,No,One year,False,Mailed check,56.95,1889.5,False,0.9659006643279544
2,3668-QPYBK,Male,False,False,False,2,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,True,Mailed check,53.85,108.15,True,0.7062188208894
3,7795-CFOCW,Male,False,False,False,45,False,NO_PHONE,DSL,Yes,No,Yes,Yes,No,No,One year,False,Bank transfer,42.3,1840.75,False,0.9774807237578658
4,9237-HQITU,Female,False,False,False,2,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,70.7,151.65,True,0.31871420864042155
5,9305-CDSKC,Female,False,False,False,8,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,99.65,820.5,True,0.20980234944558152
6,1452-KIOVK,Male,False,False,True,22,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Credit card,89.1,1949.4,False,0.529520845456241
7,6713-OKOMC,Female,False,False,False,10,False,NO_PHONE,DSL,Yes,No,No,No,No,No,Month-to-month,False,Mailed check,29.75,301.9,False,0.6961822051511224
8,7892-POOKP,Female,False,True,False,28,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,104.8,3046.05,True,0.38660889026339784
9,6388-TABGU,Male,False,False,True,62,True,No,DSL,Yes,Yes,No,No,No,No,One year,False,Bank transfer,56.15,3487.95,False,0.9912860585499492
10,9763-GRSKD,Male,False,True,True,13,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,True,Mailed check,49.95,587.45,False,0.8153808670740978
11,7469-LKBCI,Male,False,False,False,16,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Two year,False,Credit card,18.95,326.8,False,0.9706438780102851
12,8091-TTVAX,Male,False,True,False,58,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,False,Credit card,100.35,5681.1,False,0.8288946242565877
13,0280-XJGEX,Male,False,False,False,49,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Bank transfer,103.7,5036.3,True,0.5377461831048955
14,5129-JLPIS,Male,False,False,False,25,True,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,105.5,2686.05,False,0.5653370967217499
15,3655-SNQYZ,Female,False,True,True,69,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Credit card,113.25,7895.15,False,0.9595521716658874
